,CourseID,CourseName,Credits,Prerequisites,CoRequisites,Description,Availability,Repeatability,CourseFees
0,ACG 2021, Principles of Financial Accounting,3," Sophomore standing, 20 earned hours, and completion of MAC 1105 or equivalent with ""C"" or better.",N/A," This course is a conceptual introduction to financial accounting. In this course, primary emphasis is placed on income measurement and the interpretation of conventional financial statements.", Offered every semester.,N/A,N/A
1,ACG 2071, Principles of Managerial Accounting,3," ACG 2021, 20 earned hours, and MAC 1105 or equivalents each with a grade of ""C"" or better.",N/A," This course is the conceptual introduction to managerial accounting. The material covers accounting for cost reporting and control, reports, statements, and analytical tools used by management.", Offered every semester.,N/A,N/A
2,ACG 3103, Intermediate Accounting Problems and Concepts I,3," ACG 2021 with a ""C"" or better.", CGS 1100.," The course is a study of accounting principles and assumptions underlying the theories of matching costs and revenues to determine income and financial position. The course stresses asset acquisition, valuation, and allocation. The course encourages a critical evaluation of existing accounting theory and practice.", Offered every semester.,N/A,N/A
3,ACG 3113, Intermediate Accounting Problems and Concepts II,3," ACG 3103 with ""C"" or better.",N/A, This course is a continuation of ACG 3103., Offered every semester.,N/A,N/A
4,ACG 3123, Intermediate Accounting Problems and Concepts III,3," ACG 3113 with ""C"" or better.",N/A," This course is a continuation of ACG 3113 with emphasis on special contemporary problems, FASB pronouncements, and fund accounting.", Offered every semester.,N/A,N/A
5,ACG 3501, Fund Accounting,3," ACG 3103 with ""C"" or better.",N/A, This course includes specific accounting methods and techniques applicable to governmental and not-for-profit organizations., Offered infrequently.,N/A,N/A
6,ACG 4201, Advanced Accounting,3," ACG 3123 with ""C"" or better.",N/A, This course is an in-depth study of consolidated financial statements. Other topics include accounting for foreign operations and international accounting standards., Offered infrequently.,N/A,N/A
7,ACG 4251, International Accounting,3," ACG 3113 with ""C"" or better",N/A," This course is an in-depth study of the major issues and practices in international accounting. Topics include history, environmental influences, the international monetary system, accounting for changes in monetary values, contemporary issues, information disclosure, pricing, international information systems, international auditing standards and professional groups.", This course is usually offered every summer.,N/A,N/A
8,ACG 4361, Cost Accounting,3," ACG 2071 and CGS 1100 with ""C"" or better.",N/A," This course includes an analysis of cost data for goods and services for planning, controlling, and decision-making.", Offered every semester.,N/A,N/A
9,ACG 4381, Controllership,3," ACG 4361 with ""C"" or better",N/A, This course studies the duties and responsibilities of the chief accounting officer in a business organization. Topics will include the relationship of the controller to other officers of an organization and the selection and use of accounting data for control and decision-making., This course is usually offered fall and spring.,N/A,N/A
10,ACG 4401, Accounting Information Systems,3," ACG 3103 with ""C"" or better.",N/A," This course includes analysis, design, and implementation of transaction processing cycles and the roles they play in the internal control of the organization.", Usually offered every semester.,N/A,N/A
11,ACG 4651, Auditing,3," ACG 3113 and ACG 4401 with ""C"" or better.",N/A," This course includes an examination of the external auditor's professional responsibilities and functions in today's international marketplace. This course addresses audit planning, internal control evaluation, substantive testing, and report generation in detail.", Usually offered every summer.,N/A,N/A
12,ACG 4671, Internal Auditing,3," ACG 3113 and ACG 4401 with ""C"" or better.",N/A," This course is an examination of corporate governance perspectives, managing risk, and internal controls. It examines the internal auditor's role in evaluating and improving the effectiveness of risk management, control, and governance processes. Particular emphasis is placed on the professional standards of internal auditing, audit approaches, managing the internal audit, and planning, performing, and reporting audit work.", Offered infrequently.,N/A,N/A
13,ACG 4682, Forensic Accounting,3," ACG 4401 with ""C"" or better",N/A," This course is an examination of the tools and techniques utilized in the investigation of financial fraud. Particular emphasis is placed upon fraudulent financial reporting, litigation support, cybercrime, business valuation, and disaster recovery and reconstruction.", Usually offered every fall.,N/A,N/A
14,ACG 4863, Accounting and Management Control in the Film Industry,3, ACG 3103,N/A," This course is an exploration of accounting and management control systems for highly creative activities, using the film industry as a model. There is a particular emphasis on the preparation and analysis of film budgets.", Offered infrequently in the summer.,N/A,N/A
15,ACG 4901, Directed Independent Study in Accounting,13," ACG 3103 with ""C"" or better and a UNF GPA of 3.00 or above",N/A, This course involves special studies undertaken independently by students under the supervision of an accounting department faculty member. Each student must have the faculty supervisor and Department Chairperson's approval of a special study prior to enrollment.,N/A, This course may be repeated with change of content up to a maximum of 6 credits.,N/A
16,ACG 4931, Special Topics in Accounting,13," ACG 2071 with a ""C"" or better and permission of the advisor or department chair",N/A, This course is a study of special topics not offered in other departmental courses.,N/A, This course may be repeated with change of content up to a maximum of 9 credits.,N/A
17,ACG 4941, Accounting Internship,13," ACG 3103 with ""C"" or better and a UNF GPA of 3.00 or above.",N/A," Significant accounting work experience with a cooperating accounting business, governmental, or civic organization is required in this course. Credit depends upon length of internship. Prior approval of advisor and department chair is required. Grading is on a pass/fail basis. See www.unf.edu/coggin for detailed internship guidelines.",N/A,N/A,N/A
18,ACG 4956, Study Abroad in Accounting,19, Permission of the instructor,N/A," In this course students will study a country's business practices with a particular emphasis on accounting. During this course the student will: understand the culture, geography, history, and politics of the country; travel to the country; study the difference between business in the U.S. and business in that country; and learn about the current issues facing that nation. The course will have three phases: pre-trip preparation and orientation, foreign travel, and post-trip work.",N/A, This course may be repeated up to 9 credits,N/A
19,ACG 6005, Fundamentals of Financial Accounting,3,N/A,N/A," This course covers the concepts of financial accounting, the basic structure of financial statements, the interpretation of corporate annual reports, as well as the limitations of such reports.",N/A,N/A,N/A
20,ACG 6305, Management Accounting,3," FIN 5405 or equivalent with a ""C"" or better",N/A," This course involves a study of the basic cost flows through an organization, the accounting systems that are used to capture the cost data, and the managerial uses of the cost data in routine and non-routine decision-making situations. This course may not be used to satisfy CPA requirements in Florida and should not be taken by MBA students who were undergraduate accounting majors.", This course is offered every semester.,N/A,N/A
21,ACG 6309, Advanced Managerial Accounting Theory,3," ACG 4361 with a ""C"" or better or ACG 6305 with a ""C"" or better",N/A," This course provides an examination of the development of managerial accounting, and contemporary managerial accounting issues. The emphasis is on the underlying theories and objectives of managerial accounting as it relates to the management decision process. This course is recommended for MBA students who were undergraduate accounting majors.", This course is usually offered in the spring.,N/A,N/A
22,ACG 6405, Advanced Accounting Information Systems,3," ACG 4401 or equivalent with a ""C"" or better",N/A," This course presents objective user analysis of information systems and their role in providing accounting information for planning, operations control, and managerial/financial control. In this course, emphasis is placed on developing a conceptual framework for applying information technology to the functional areas of business.", This course is usually offered fall and spring.,N/A,N/A
23,ACG 6505, Not-For-Profit Accounting,3," ACG 6305 or equivalent with a grade of ""B"" or better",N/A," This course involves a study of how current methods of accounting for not-for-profit entities evolved, and a critical review of contemporary issues concerning changes to existing not-for-profit accounting methods.", This course is offered intermittently.,N/A,N/A
24,ACG 6645, Auditing Theory,3," ACG 4651 or equivalent with a ""C"" or better",N/A, This course provides an examination of the theoretical framework of auditing with emphasis upon the development and analysis of the philosophy and methodology of auditing. Ethical and legal considerations of auditing will receive special attention., This course is usually offered fall and spring.,N/A,N/A
25,ACG 6805, Advanced Accounting Theory,3, Undergraduate accounting degree or equivalent,N/A," This course involves an examination of contemporary accounting issues with special emphasis upon the underlying theories, controversies, and objectives of asset valuation and income determination.", This course is usually offered fall and spring.,N/A,N/A
26,ACG 6835, Accounting Ethics,3, ACG 3103 or ACG 6305,N/A," An examination of the constructs of ethics and ethical decision making by accountants in contemporary business organizations with particular attention to historical cases and contemporary regulatory, economic, political and social influences. The analysis will examine the impact of ethics on both for-profit and nonprofit organizations in the global economy.",N/A,N/A,N/A
27,ACG 6838, Accounting Fraud,3," ACG 3103 with a ""C"" or better or consent of the instructor",N/A," This course involves an examination of the constructs of fraud in contemporary business organizations with particular attention to historical cases and contemporary regulatory, economic, political and social influences. The analysis will examine the impact of fraud on both for-profit and nonprofit organizations.", This course is usually offered only in the fall.,N/A,N/A
28,ACG 6905, Advanced Studies in Accounting,13,N/A,N/A, This course involves special studies undertaken independently under the supervision of an accounting department faculty member. The student must have the faculty supervisor and department chairperson's approval of special study prior to enrollment.,N/A, This course may be repeated with a change in content up to a maximum of 6 credits.,N/A
29,ACG 6936, Special Topics in Accounting,13," ACG 6305 with a ""C"" or better and permission of the advisor and the department chairperson.",N/A, This course involves the study of special topics not offered in other departmental courses.,N/A, This course may be repeated with a change in content up to a maximum of 6 credits.,N/A
30,ACG 6957, Study Abroad in Accounting,19, Graduate standing in the Coggin College of Business and permission of the instructor, ACG 6305 or equivalent," In this course students will study a country's business practices, with a particular emphasis on accounting. During this course, students will: understand the culture, geography, history, and politics of the country; travel to the country; study the differences between business in the U.S. and business in that country; and learn about the current issues facing that nation. The course will have three phases: pre-trip preparation and orientation, foreign travel, and post-trip work.",N/A,N/A,N/A
31,ADV 3008, Principles of Advertising,3," MMC 1004, MMC 3105",N/A," Theory, principles and functions of advertising; its role in economic, social and marketing structure. Copy and design in newspapers, magazines, radio and television are studied. Projects involving preparation of a simple campaign and its ads.",N/A,N/A,N/A
32,ADV 3101, Advertising Creative Strategy,3, ADV 3008 and MMC 1004 and MMC 3105,N/A, Preparation and production of advertising copy for all media.,N/A,N/A, $10
33,ADV 3200C, Advertising Design,3," ADV 3008, MMC 1004, MMC 3105, ADV 3101, and ADV 3203",N/A," The problems of designing graphic material to sell products and services. The preparation of roughs and comps and their presentation. The effective use of illustration, typography, and photography. Open to Literature, Communications, and Marketing majors.",N/A,N/A, $15
34,ADV 3203, Advertising Media Graphics,3, MMC 1004,N/A," This course is for people with little or no experience with current photo editing and design software. Students will become acquainted with the basic functions of these programs. Use of type, color, basic design elements and word/page processing will be covered. Students will gain an understanding of available desktop publishing applications and how to successfully utilize these applications for advertising purposes.",N/A,N/A, $15
35,ADV 3300, Media Planning,3, ADV 3008 and MMC 1004 and MMC 3105 and MMC 4420 or ADV 3500 or MMC4422,N/A," This course will teach students to critically and strategically plan, select and evaluate media for advertising purposes. The principles of media planning and buying will be emphasized. Students will study audience measurement, media research, audience segmentation and marketing strategies.",N/A,N/A, $10
36,ADV 3500, Advertising Research Methods,3, ADV 3008 and MMC 1004 and MMC 3105 and MMC 3614,N/A,"developing explicit and measurable research objectives; developing adequate research plans to solve those objectives; selecting and implementing appropriate methodologies to answer the questions proposed by the objectives, analyzing data; and preparing the reports that communicate the results of the research.",N/A,N/A, $10
37,ADV 3812, Integrated Marketing Communication,3,N/A,N/A," The primary objective of the course is to provide students with the fundamentals of Integrated Marketing Communication (IMC). Students will learn the basic concepts of advertising, public relations, promotion, branding, and direct marketing and apply them to IMC campaigns.",N/A,N/A,N/A
38,ADV 4404, Strategic Branding,3, ADV3008 or PUR3000,N/A," The primary objective of the course is to provide students with a comprehensive analysis of branding, brand equity and strategic brand management. The course will explore the design and implementation of marketing programs to build, measure, and manage brand equity.",N/A,N/A,N/A
